date,country,energy_demand,outlier_flag,demand_z,demand_lag1,demand_lag7,demand_roll,demand_anomaly,daily_count,temperature_mean,temperature_max,precipitation,windspeed_max,is_bank_holiday,is_weekend,Amount of collisions happen each day
01/01/2010,England,1992.5,0,0.903765739,1.033015432,0.891572371,0.70837325,0.195392489,1288.65,-0.070,3.204,0.780,18.648,1,0,190
01/01/2010,Scotland,2629.8,0,-0.528328527,-1.470148599,-2.39691201,-1.314958685,0.786630158,59,-0.272,1.751,2.825,22.738,1,0,3
01/01/2010,Wales,36990.9,0,2.094198199,1.991505693,1.599123329,1.664527339,0.429670861,65.1,1.646,4.545,0.267,17.194,1,0,8
02/01/2010,England,1689.3,0,-0.152528247,0.420211632,0.047442976,0.073073932,-0.225602178,1288.65,-1.504,1.034,0.000,16.032,0,1,441
02/01/2010,Scotland,1763.1,0,0.104577611,-0.907123488,0.307684271,-0.091561411,0.196139022,69,-2.831,-1.062,0.225,14.630,0,1,21
02/01/2010,Wales,3714.2,0,1.348389014,1.040160137,1.520242622,1.258716588,0.089672426,65.1,0.084,1.478,0.000,20.348,0,1,21
03/01/2010,England,2028.5,0,1.02918323,1.031621904,1.274792485,0.747939482,0.281243748,1288.65,-3.041,0.284,0.000,12.405,0,1,376
03/01/2010,Scotland,1960.6,0,0.792631906,0.665820886,0.663382213,0.162657854,0.629974051,78,-2.105,0.438,0.475,15.202,0,1,22
03/01/2010,Wales,3706.8,0,1.3355822,1.892159442,0.737469342,1.329623817,0.005958383,65.1,-2.310,0.995,0.000,13.130,0,1,32
04/01/2010,England,3541.4,0,1.049332586,0.465930259,0.934936579,0.97367843,0.075654156,1288.65,-1.283,0.834,4.680,15.752,0,0,323
04/01/2010,Scotland,20060.1,0,-1.706996131,-1.789280354,-1.515149287,-0.975822792,-0.731173339,84,-1.987,0.476,0.925,25.745,0,0,23
04/01/2010,Wales,25144.8,0,-0.565411988,-1.707198193,-0.583620038,-0.828054375,0.262642387,65.1,0.192,2.412,2.600,16.414,0,0,18
05/01/2010,England,1923.5,0,0.663382213,0.868927547,0.4034893,0.534480902,0.128901311,1288.65,-1.307,0.234,3.900,23.126,0,0,234
05/01/2010,Scotland,4755.3,1,3.150169383,2.87897643,3.33361835,2.639973578,0.510195805,60,-2.080,-0.074,0.125,23.159,0,0,18
05/01/2010,Wales,3086.8,0,0.26257881,-0.083551316,0.476487228,0.396456998,-0.133878188,65.1,-0.360,1.028,2.600,27.108,0,0,11
06/01/2010,England,3888.5,0,1.650041419,0.477871748,-0.602400374,0.689110019,0.9609314,1288.65,-5.432,-2.496,0.000,17.353,0,0,294
06/01/2010,Scotland,25729.4,0,-0.434161355,-0.581374903,-0.331019822,-0.688576924,0.254415569,73,-4.504,-2.337,0.050,10.392,0,0,21
06/01/2010,Wales,1807,0,0.257517275,0.368651108,0.603808904,1.09821262,-0.840695345,65.1,-3.276,-0.138,0.000,15.117,0,0,15
07/01/2010,England,3149.1,0,0.370398344,0.061996402,0.611824107,0.172238847,0.198159497,1288.65,-4.436,-1.506,0.300,17.861,0,0,281
07/01/2010,Scotland,28577.7,0,0.205320642,0.441014987,0.480012994,0.182320831,0.022999811,55,-4.730,-1.999,0.150,11.634,0,0,38
07/01/2010,Wales,26641.6,0,-0.229360078,-0.434161355,-0.340875968,-0.703311429,0.473951351,65.1,-4.056,-0.755,0.000,19.336,0,0,14
08/01/2010,England,39838.6,1,2.733545489,2.784801937,0.659601398,1.912550686,0.820994804,1288.65,-3.505,-1.336,0.000,21.607,0,0,205
08/01/2010,Scotland,36102.7,0,1.894785248,2.733545489,1.035437112,2.208828413,-0.314043165,82,-2.463,-0.587,1.075,11.298,0,0,13
08/01/2010,Wales,35131,0,1.676625413,1.894785248,1.137860202,2.331592432,-0.65496702,65.1,-3.243,-0.922,0.000,21.327,0,0,11
09/01/2010,England,39796,0,2.723981211,1.676625413,2.538443198,2.408558891,0.31542232,1288.65,0.211,1.414,1.680,22.692,0,1,312
09/01/2010,Scotland,39743.7,0,2.712239152,2.723981211,2.707816234,2.435064322,0.27717483,77,-0.325,2.163,0.025,23.544,0,1,21
09/01/2010,Wales,39813.9,0,2.728000004,2.712239152,2.523894719,2.435696167,0.292303837,65.1,-0.188,1.862,0.000,21.327,0,1,17
10/01/2010,England,39571.3,0,2.673533012,2.728000004,2.784801937,2.464854065,0.208678948,1288.65,0.492,0.993,2.720,15.806,0,1,435
10/01/2010,Scotland,37830.4,0,2.28267734,2.673533012,2.733545489,2.448958504,-0.166281164,72,2.327,3.051,0.250,24.415,0,1,28
10/01/2010,Wales,33774.4,0,1.372050305,2.28267734,1.894785248,2.384548769,-1.012498463,65.1,0.723,1.345,0.667,16.805,0,1,22
11/01/2010,England,31917.1,0,0.955061254,1.372050305,1.676625413,2.309872348,-1.354811094,1288.65,0.149,1.244,0.500,23.847,0,0,299
11/01/2010,Scotland,36838.5,0,2.059982332,0.955061254,2.723981211,2.206791754,-0.146809423,65,2.675,3.213,0.800,25.204,0,0,34
11/01/2010,Wales,37009,0,2.098261895,2.059982332,2.712239152,2.111934771,-0.013672876,65.1,0.808,1.828,3.533,34.248,0,0,11
12/01/2010,England,37796.9,0,2.275156136,2.098261895,2.728000004,2.024223735,0.250932401,1288.65,-0.056,0.584,3.360,20.041,0,0,160
12/01/2010,Scotland,37563.2,0,2.222687315,2.275156136,2.673533012,1.959531754,0.263155561,55,2.066,2.738,1.075,23.125,0,0,14
12/01/2010,Wales,36599,0,2.006211332,2.222687315,2.28267734,1.895125225,0.111086107,65.1,0.751,1.312,6.467,23.433,0,0,10
13/01/2010,England,33071.3,0,1.214194815,2.006211332,1.372050305,1.855630081,-0.641435266,1288.65,0.595,2.284,0.560,8.796,0,0,250
13/01/2010,Scotland,32153.2,0,1.008068908,1.214194815,0.955061254,1.833079297,-0.825010389,58,1.118,2.801,1.875,16.222,0,0,17
